State Code,County Code,Site Num,Latitude,Longitude,Parameter Name,Sample Duration,Pollutant_Standard,Date Local,Units_ of_ Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,State_ Name,County _Name,City Name,CBSA Name,Date of Last Change
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/1/2019,Parts per million,2,8,0.2415,0.248,1,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/8/2019,Parts per million,21,88,0.29481,0.617,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/9/2019,Parts per million,23,96,0.15487,0.195,0,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/10/2019,Parts per million,24,100,0.146875,0.174,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/11/2019,Parts per million,24,100,0.28525,1.263,23,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/12/2019,Parts per million,24,100,0.365917,1.066,0,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/13/2019,Parts per million,24,100,0.216417,0.358,10,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/14/2019,Parts per million,24,100,0.328792,0.855,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/15/2019,Parts per million,23,96,0.511217,1.281,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/16/2019,Parts per million,24,100,0.44275,1.366,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/17/2019,Parts per million,24,100,0.226083,0.318,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/18/2019,Parts per million,24,100,0.297792,0.643,23,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/19/2019,Parts per million,24,100,0.345583,0.739,0,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/20/2019,Parts per million,24,100,0.1845,0.271,8,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/21/2019,Parts per million,24,100,0.164958,0.202,20,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/22/2019,Parts per million,23,96,0.214522,0.4,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/23/2019,Parts per million,24,100,0.198958,0.314,18,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/24/2019,Parts per million,24,100,0.156083,0.213,16,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/25/2019,Parts per million,24,100,0.219458,0.326,2,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/26/2019,Parts per million,24,100,0.374583,0.873,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/27/2019,Parts per million,24,100,0.470833,0.828,19,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/28/2019,Parts per million,24,100,0.246167,0.549,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/29/2019,Parts per million,23,96,0.258087,0.465,19,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/30/2019,Parts per million,24,100,0.225958,0.74,6,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/31/2019,Parts per million,24,100,0.290125,0.698,21,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/1/2019,Parts per million,24,100,0.305583,1.094,0,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/2/2019,Parts per million,24,100,0.466542,0.845,23,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/3/2019,Parts per million,24,100,0.813208,1.756,3,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/4/2019,Parts per million,22,92,0.689182,1.424,8,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/5/2019,Parts per million,23,96,0.762217,1.461,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/6/2019,Parts per million,24,100,0.362125,0.734,5,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/7/2019,Parts per million,24,100,0.252958,0.345,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/8/2019,Parts per million,24,100,0.209333,0.537,10,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/9/2019,Parts per million,24,100,0.23775,0.643,23,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/10/2019,Parts per million,24,100,0.294708,0.573,7,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
24,5,3001,39.310833,-76.474444,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/11/2019,Parts per million,24,100,0.229,0.312,20,,Essex,Maryland,Baltimore,Essex,"Baltimore-Columbia-Towson, MD",10/2/2020
