State Code,County Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,State Name,County Name,City Name,Date of Last Change
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/1/2019,Parts per billion,24,100,8.683333,19.6,23,18,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/2/2019,Parts per billion,21,88,15.080952,29.9,8,27,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/3/2019,Parts per billion,24,100,16.475,26.8,23,25,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/4/2019,Parts per billion,24,100,17.4625,30.4,7,28,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/5/2019,Parts per billion,24,100,11.75,15.6,7,14,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/6/2019,Parts per billion,24,100,13.520833,24.9,4,23,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/7/2019,Parts per billion,24,100,14.883333,23.8,4,22,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/8/2019,Parts per billion,22,92,14.290909,27.9,18,25,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/9/2019,Parts per billion,22,92,9.472727,15.3,7,14,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/10/2019,Parts per billion,22,92,9.381818,22.5,7,21,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/11/2019,Parts per billion,24,100,15.154167,30.7,22,28,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/12/2019,Parts per billion,24,100,20.5125,33.4,0,31,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/13/2019,Parts per billion,24,100,17.3375,20.7,15,19,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/14/2019,Parts per billion,24,100,21.433333,33.9,23,31,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/15/2019,Parts per billion,20,83,27.505,41.3,12,39,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/16/2019,Parts per billion,24,100,24.9875,53.2,8,50,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/17/2019,Parts per billion,23,96,21.104348,36.1,7,34,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/18/2019,Parts per billion,23,96,22.230435,31.4,7,29,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/19/2019,Parts per billion,24,100,16.6375,20.6,5,19,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/20/2019,Parts per billion,24,100,12.441667,18.6,22,17,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/21/2019,Parts per billion,24,100,10.1375,12.3,0,11,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/22/2019,Parts per billion,22,92,16.595455,24.1,7,23,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
11,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,1/23/2019,Parts per billion,24,100,14.783333,29.8,21,27,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,2/7/2020
